Date,Type,Details,Amount (BDT),Tag,Payment Method
2025-09-24,expense,Home food,300,Home Snacks,Cash
2025-09-24,expense,Vagitables,40,Family Bazer,Cash
2025-09-23,expense,Tanzima home,1400,Family and Gift,Cash
2025-09-23,expense,Transport ammu,200,Transport,Cash
2025-09-22,expense,T n C,150,C n T,Cash
2025-09-22,expense,t n c,200,C n T,Cash
2025-09-22,expense,Bazer,4500,Family Bazer,Bcash
2025-09-21,expense,T n C,110,C n T,Cash
2025-09-21,expense,Home snacks,590,Home Snacks,Cash
2025-09-21,expense,Donation boro kaku,1600,Donation,Cash
2025-09-21,expense,t nc,30,C n T,Cash
2025-09-21,expense,gash,1350,Family Issential,Cash
2025-09-21,expense,tnc,200,C n T,Cash
2025-09-20,expense,Selun,200,Others Essential,Cash
2025-09-20,expense,Riksha,20,Transport,Cash
2025-09-20,expense,t n c,30,C n T,Cash
2025-09-19,expense,T n C,350,C n T,Cash
2025-09-19,expense,sajib vai gift,297,Giveway,Bcash
2025-09-19,expense,cig and tea,100,C n T,Cash
2025-09-19,expense,sobji,60,Family Bazer,Cash
2025-09-19,expense,"gajor, sobji",170,Family Bazer,Cash
2025-09-19,expense,pepe,110,Family Bazer,Cash
2025-09-19,expense,Bazer,120,Family Bazer,Cash
2025-09-19,expense,Riksha to doshani,30,Transport,Cash
2025-09-18,expense,Tanz pocket money,300,Tanzu Pocket money,Cash
2025-09-18,expense,Ammu test Dr,700,Medicine N Dr,Cash
2025-09-18,expense,Ciggarates to gher,200,C n T,Cash
2025-09-18,expense,Home food,320,Family and Gift,Cash
2025-09-11,expense,Simanto loan,5000,Loan,N/A
2025-09-11,expense,mobile load,29,Phone Bill,N/A
2025-09-11,expense,Rabby loan,2700,Loan,N/A
2025-09-11,expense,Nasrul gift,1655,Giveway,N/A
2025-09-11,expense,mobilr load,100,Trip,N/A
2025-09-11,expense,mobilr load,499,Trip,N/A
2025-09-11,expense,Achar,1000,Trip,N/A
2025-09-11,expense,Sutki,1100,Trip,N/A
2025-09-11,expense,Internet bill,1200,Internet,N/A
2025-09-11,expense,Kuakata to bagerhat,2000,Trip,N/A
2025-09-11,expense,T n C,1000,Trip,N/A
2025-09-11,expense,Food all,5000,Trip,N/A
2025-09-11,expense,Seat Vara,500,Trip,N/A
2025-09-11,expense,Kuakata bike oil,200,Trip,N/A
2025-09-11,expense,Kuakata local trans,1000,Trip,N/A
2025-09-11,expense,Trip Kuakata ess food,400,Trip,N/A
2025-09-11,expense,Trip Kuakata Uber,400,Trip,N/A
2025-09-11,expense,Trip Kuakata Bus dhaka,3272,Trip,N/A
2025-09-11,expense,Phone bill,100,Phone Bill,N/A
2025-09-10,expense,Hotel Greaver in,18000,Trip,N/A
2025-09-10,expense,Hotel Beach view,12000,Trip,N/A
2025-09-08,expense,Tanzima,2000,Tanzu Pocket money,N/A
2025-09-06,expense,Gari,1800,Family and Gift,N/A
2025-09-06,expense,Ammu Uber,400,Family and Gift,N/A
2025-09-06,expense,T n C,1000,C n T,N/A
2025-09-06,expense,Transport,1000,Transport,N/A
