Date,Type,Details,Amount (BDT),Main Category,Sub-Category,Payment Method
2025-10-04,expense,test,100,Bills,electricity,bcash
2025-10-03,expense,smsbd,500,softwere,SMS API,bcash
2025-10-02,expense,Soft replit,2000,softwere,Replit,bcash
2025-10-02,expense,t nc,280,c n t,Coffee,cash
2025-10-01,expense,Regular monthly Bazer,1200,family bazer,Monthly Basic,cash
2025-10-01,expense,Hash,750,family bazer,Hash,cash
2025-10-01,expense,Kacha bazer,270,family bazer,Kacha Bazer,cash
2025-10-01,expense,tnc,500,c n t,Group Bill,cash
2025-10-01,expense,Dim,330,family bazer,Egg,cash
2025-09-30,expense,riksha,50,transport,Rikhsaa,cash
2025-09-30,expense,Extra others,5000,others essential,Others Cost,cash
2025-09-30,expense,tnc,140,c n t,Tea,cash
2025-09-30,expense,"Badhal berano, Home food",2500,family and gift,Family Invitation,cash
2025-09-30,expense,Bagerhat to Badhal,260,transport,Family Invitation,cash
2025-09-30,expense,home snacks,980,grocery,Home Monthly,cash
2025-09-28,expense,Ai webapp maker,12276,softwere,Replit,creditcard
2025-09-27,expense,Tax,3500,family and gift,Family Tax,cash
2025-09-27,expense,t nc,200,c n t,Group Bill,cash
2025-09-26,expense,Family Bazer,5000,family bazer,Monthly Basic,cash
2025-09-26,expense,Bazer,6000,family bazer,Kacha Bazer,cash
2025-09-26,expense,T n C,1000,c n t,Group Bill,cash
2025-09-25,expense,Med for tahin,40,medicine n dr,medicine,cash
2025-09-24,expense,Home food,300,home snacks,Toast,cash
2025-09-24,expense,grocery,740,grocery,Etc,cash
2025-09-24,expense,Vagitables,40,family bazer,Kacha Bazer,cash
2025-09-24,expense,Loan,4000,loan,Sajib,cash
2025-09-24,expense,t n C,400,c n t,Group Bill,cash
2025-09-23,expense,Tanzima home,1400,family and gift,Personal tanz,cash
2025-09-23,expense,Transport ammu,200,transport,Rikhsaa,cash
2025-09-23,expense,Chiken fry home,1000,home snacks,Chikken Fry,cash
2025-09-22,expense,Bazer,4500,family bazer,Kacha Bazer,bcash
2025-09-22,expense,Replit bill,4960,softwere,Replit,creditcard
2025-09-22,expense,Replit,1860,softwere,Replit,creditcard
2025-09-22,expense,t n c,200,c n t,Coffee,cash
2025-09-22,expense,T n C,150,c n t,Group Bill,cash
2025-09-21,expense,gash,1350,family issential,Gass,cash
2025-09-21,expense,t nc,30,c n t,Cigarette,cash
2025-09-21,expense,Donation boro kaku,1600,donation,Donation Family,cash
2025-09-21,expense,tnc,200,c n t,Group Bill,cash
2025-09-21,expense,T n C,110,c n t,Coffee,cash
2025-09-21,expense,Home snacks,590,home snacks,Others,cash
2025-09-20,expense,Selun,200,others essential,Selun,cash
2025-09-20,expense,Riksha,20,transport,Rikhsaa,cash
2025-09-20,expense,t n c,30,c n t,Cigarette,cash
2025-09-19,expense,Riksha to doshani,30,transport,Rikhsaa,cash
2025-09-19,expense,Bazer,120,family bazer,Kacha Bazer,cash
2025-09-19,expense,cig and tea,100,c n t,Group Bill,cash
2025-09-19,expense,sobji,60,family bazer,Kacha Bazer,cash
2025-09-19,expense,pepe,110,family bazer,Kacha Bazer,cash
